ACO,ABC,CS,DIRECT,HS,PSO,Firefly
1.7611,1.7611,1.7611,1.760397358,5.250744676,-0.480836941,-1.047875464
1.7611,1.7611,1.7611,1.760397358,1.373531137,1.294570537,-0.875478794
1.7611,1.7611,1.7611,1.760397358,10.88583244,-0.998580246,-1.127414342
1.7611,1.7611,1.7611,1.760397358,1.650634075,-1.113084548,1.232479514
1.7611,1.7611,1.7611,1.760397358,1.594444813,-0.906447223,-0.896772623
1.7611,1.7611,1.7611,1.760397358,3.494919936,-1.038180586,-0.952504736
1.7611,1.7611,1.7611,1.760397358,1.549245323,-1.059117283,-1.186910616
1.7611,1.7611,1.7611,1.760397358,11.43575282,-1.137169684,-1.038052441
1.7611,1.7611,1.7611,1.760397358,3.790062901,-0.732154654,0.048294014
1.7611,1.7611,1.7611,1.760397358,6.206572415,-0.891676801,-0.386189668
1.7611,1.7611,1.7611,1.760397358,3.578078248,-0.903711873,-1.181852793
1.7611,1.7611,1.7611,1.760397358,4.532969227,-0.983386426,-0.914551503
1.7611,1.7611,1.7611,1.760397358,1.572861495,-0.380898596,-1.088281034
1.7611,1.7611,1.7611,1.760397358,0.987868828,-0.260168913,-1.129044651
1.7611,1.7611,1.7611,1.760397358,1.428363738,-1.084093854,-1.169363325
1.7611,1.7611,1.7611,1.760397358,5.46485557,-0.953554227,-1.190312404
1.7611,1.7611,1.7611,1.760397358,1.259381171,-1.072011342,-1.127889762
1.7611,1.7611,1.7611,1.760397358,6.955423566,-0.911775573,-1.114447841
1.7611,1.7611,1.7611,1.760397358,1.508025316,0.42402124,-1.096223246
1.7611,1.7611,1.7611,1.760397358,1.660448853,1.661692394,-1.214897023
1.7611,1.7611,1.7611,1.760397358,2.385400746,-0.744472362,-1.207120466
1.7611,1.7611,1.7611,1.760397358,3.196052755,-0.91642008,-0.957688161
1.7611,1.7611,1.7611,1.760397358,1.066805691,-0.844208506,-1.150959722
1.7611,1.7611,1.7611,1.760397358,1.378605871,-0.645790714,-1.159865795
1.7611,1.7611,1.7611,1.760397358,10.31088558,-1.127776487,-1.093421523
1.7611,1.7611,1.7611,1.760397358,0.864710423,-1.126653694,-1.206592416
1.7611,1.7611,1.7611,1.760397358,36.87435286,-1.130277558,-1.182443871
1.7611,1.7611,1.7611,1.760397358,7.864869701,-1.077783007,-1.209038789
1.7611,1.7611,1.7611,1.760397358,1.665126285,-0.795123868,-1.003679263
1.7611,1.7611,1.7611,1.760397358,1.346268802,-0.954850676,-0.736874932
1.7611,1.7611,1.7611,1.760397358,41.50990856,-1.12031537,-0.947841062
1.7611,1.7611,1.7611,1.760397358,10.77122625,-0.738237378,-0.867656505
1.7611,1.7611,1.7611,1.760397358,4.162028365,-0.837580726,-1.202204233
1.7611,1.7611,1.7611,1.760397358,5.387377478,-1.041646359,-1.059091865
1.7611,1.7611,1.7611,1.760397358,34.45330225,-0.281119917,-1.11810436
1.7611,1.7611,1.7611,1.760397358,2.001377287,0.083958867,-1.004252189
1.7611,1.7611,1.7611,1.760397358,1.67044219,-1.034399823,-0.951334094
1.7611,1.7611,1.7611,1.760397358,1.611271535,-1.111459657,-1.107449881
1.7611,1.7611,1.7611,1.760397358,2.166382638,1.760931691,-1.153136644
1.7611,1.7611,1.7611,1.760397358,1.970607739,-1.08545868,0.116891848
1.7611,1.7611,1.7611,1.760397358,1.058104204,-1.072479986,-1.175524944
1.7611,1.7611,1.7611,1.760397358,1.425671395,-1.116213882,-0.929877523
1.7611,1.7611,1.7611,1.760397358,3.612456139,-1.011517037,-1.019056762
1.7611,1.7611,1.7611,1.760397358,7.579588978,1.459550303,-1.013188477
1.7611,1.7611,1.7611,1.760397358,3.322528198,-0.97884011,-1.057032871
1.7611,1.7611,1.7611,1.760397358,1.968813796,-0.909140128,-1.09067931
1.7611,1.7611,1.7611,1.760397358,1.25438383,-0.529440581,-1.09489597
1.7611,1.7611,1.7611,1.760397358,1.367589889,-1.071134532,-1.094555215
1.7611,1.7611,1.7611,1.760397358,1.691568189,-1.163238088,-1.17325151
1.7611,1.7611,1.7611,1.760397358,4.024056835,-0.617881018,-1.012303076
1.7611,1.7611,1.7611,1.760397358,1.406237775,-0.74783691,-1.114471241
1.7611,1.7611,1.7611,1.760397358,1.601502664,0.577323929,-1.145129738
1.7611,1.7611,1.7611,1.760397358,1.955681109,-1.094352953,-0.299106093
1.7611,1.7611,1.7611,1.760397358,4.575936014,-0.972954266,-1.044684766
1.7611,1.7611,1.7611,1.760397358,12.15110041,-1.118254566,-1.195973002
1.7611,1.7611,1.7611,1.760397358,1.715422765,-0.799097723,-1.051172529
1.7611,1.7611,1.7611,1.760397358,1.815217892,-1.08509097,-1.122623994
1.7611,1.7611,1.7611,1.760397358,2.774177925,-0.904080896,-1.023051853
1.7611,1.7611,1.7611,1.760397358,1.248672137,-0.889309745,-1.147494151
1.7611,1.7611,1.7611,1.760397358,2.793806951,-1.004287239,-1.062804742
1.7611,1.7611,1.7611,1.760397358,5.960905398,-0.941818592,-0.996357527
1.7611,1.7611,1.7611,1.760397358,1.173223851,-1.148358783,-1.15826453
1.7611,1.7611,1.7611,1.760397358,1.688273598,-0.368259532,-1.018619105
1.7611,1.7611,1.7611,1.760397358,1.095450734,-0.132801751,-1.039390293
1.7611,1.7611,1.7611,1.760397358,2.312030537,-0.86343045,-1.085898132
1.7611,1.7611,1.7611,1.760397358,7.625192373,-0.692093716,-1.098244162
1.7611,1.7611,1.7611,1.760397358,1.306808483,-1.169361225,-1.03230544
1.7611,1.7611,1.7611,1.760397358,1.199261092,-0.337008212,-1.104152275
1.7611,1.7611,1.7611,1.760397358,5.332305019,-1.127201572,-1.132415407
1.7611,1.7611,1.7611,1.760397358,32.65356348,-1.017310718,-0.885019348
1.7611,1.7611,1.7611,1.760397358,6.909502017,-1.092895339,-1.192890776
1.7611,1.7611,1.7611,1.760397358,1.686385069,-0.956338359,-1.199310109
1.7611,1.7611,1.7611,1.760397358,1.716279959,-0.722355369,-0.939267879
1.7611,1.7611,1.7611,1.760397358,3.558860758,-0.618408554,-0.393060982
1.7611,1.7611,1.7611,1.760397358,10.9299841,-1.158792555,-0.845792876
1.7611,1.7611,1.7611,1.760397358,14.00492818,-0.759318553,-1.025086254
1.7611,1.7611,1.7611,1.760397358,0.982957747,0.01687007,0.940867211
1.7611,1.7611,0.980216851,1.760397358,15.68006116,1.669250921,-1.179319005
1.7611,1.7611,1.7611,1.760397358,4.284460339,-0.853566832,-1.168390006
1.7611,1.7611,1.7611,1.760397358,2.245512145,-1.14267306,-0.185741214
1.7611,1.7611,1.7611,1.760397358,3.386576138,-1.045057083,-0.979900293
1.7611,1.7611,1.7611,1.760397358,1.102210181,-0.518637529,-1.161406996
1.7611,1.7611,1.7611,1.760397358,1.480012316,-1.176461646,-1.204682452
1.7611,1.7611,1.7611,1.760397358,2.10059313,-0.596689318,-1.13951048
1.7611,1.7611,1.7611,1.760397358,1.59627729,-1.002237044,-1.150777568
1.7611,1.7611,1.7611,1.760397358,1.48448374,-0.665099588,-1.06641744
1.7611,1.7611,1.7611,1.760397358,5.120213999,-0.627820665,-1.169196407
1.7611,1.7611,1.7611,1.760397358,2.953658323,0.794276086,-1.158683776
1.7611,1.7611,1.7611,1.760397358,4.419763957,-1.063088916,-1.209728413
1.7611,1.7611,1.7611,1.760397358,1.252532618,1.732972594,-1.183247893
1.7611,1.7611,1.7611,1.760397358,1.637046114,-1.114301212,-0.534132802
1.7611,1.7611,1.7611,1.760397358,1.343750238,-0.603356993,-1.178188663
1.7611,1.7611,1.7611,1.760397358,1.595207252,-0.949422002,-1.182167128
1.7611,1.7611,1.7611,1.760397358,3.991390483,-0.897067834,-1.112814612
1.7611,1.7611,1.7611,1.760397358,1.196370134,0.14236373,-0.011564826
1.7611,1.7611,1.7611,1.760397358,1.348960475,1.176725836,-1.111326148
1.7611,1.7611,1.7611,1.760397358,17.45008406,-0.675546189,-1.085286469
1.7611,1.7611,1.7611,1.760397358,1.626504283,-0.602896478,0.288210108
1.7611,1.7611,1.7611,1.760397358,1.568304304,-1.029857591,-1.04946693
1.7611,1.7611,1.7611,1.760397358,3.483043517,-0.854053838,-0.941066632
1.7611,1.7611,1.7611,1.760397358,8.386481859,-0.372647925,-1.110758526
1.7611,1.7611,1.7611,1.760397358,2.705843147,-0.766954637,-1.134743131
1.7611,1.7611,1.7611,1.760397358,2.385313823,-0.404354778,-1.176969539
1.7611,1.7611,1.7611,1.760397358,1.050600416,-0.989326396,-1.150681174
1.7611,1.7611,0.84949803,1.760397358,2.27004371,-1.048242483,-1.177713866
1.7611,1.7611,1.7611,1.760397358,1.628586894,-0.877056349,-1.170380978
1.7611,1.7611,1.7611,1.760397358,4.915405008,-1.016190555,-1.031038709
1.7611,1.7611,1.7611,1.760397358,1.005626325,1.285882026,-1.175699633
1.7611,1.7611,1.7611,1.760397358,1.699511886,-0.840805404,-1.15247604
1.7611,1.7611,1.7611,1.760397358,1.314956476,-0.97097934,-1.056133052
1.7611,1.7611,1.7611,1.760397358,2.222182028,-0.706415857,-1.14782632
1.7611,1.7611,1.7611,1.760397358,13.40571765,-0.771788359,-1.184340051
1.7611,1.7611,1.7611,1.760397358,3.776253209,-0.842760224,-0.667465363
1.7611,1.7611,1.7611,1.760397358,2.943707926,-0.852205562,-0.567615217
1.7611,1.7611,1.7611,1.760397358,3.649558653,-0.560898337,-1.122612459
1.7611,1.7611,1.7611,1.760397358,1.08696245,-0.776369054,-1.129862435
1.7611,1.7611,1.7611,1.760397358,1.715073851,-1.08229506,-1.109188206
1.7611,1.7611,1.7611,1.760397358,2.964074426,-0.847791736,-1.191657326
1.7611,1.7611,1.7611,1.760397358,2.125929008,-0.153984181,-1.138340236
1.7611,1.7611,1.7611,1.760397358,2.50490431,-0.829487299,-1.164931786
1.7611,1.7611,1.7611,1.760397358,1.68409563,-0.841383614,-0.970007878
1.7611,1.7611,1.7611,1.760397358,1.449498557,-1.129117841,-1.066212881
1.7611,1.7611,1.7611,1.760397358,6.286096063,-0.965549677,-1.180790672
1.7611,1.7611,1.7611,1.760397358,1.295575783,-0.706578213,-0.600774566
1.7611,1.7611,1.7611,1.760397358,42.99423029,-0.905544537,-1.152117707
1.7611,1.7611,1.7611,1.760397358,1.728402509,-1.078576467,-1.208970538
1.7611,1.7611,1.7611,1.760397358,0.802191367,1.721286459,-1.001080632
1.7611,1.7611,1.7611,1.760397358,2.573346585,-1.121004975,-1.202833946
1.7611,1.7611,1.674802408,1.760397358,12.08137682,-0.861733252,-0.640344078
1.7611,1.7611,1.7611,1.760397358,2.372484083,-1.08237712,-1.161880975
1.7611,1.7611,1.425553268,1.760397358,1.75034237,-0.909368125,-0.96538248
1.7611,1.7611,1.7611,1.760397358,1.74161733,-0.505784843,-1.106870061
1.7611,1.7611,1.7611,1.760397358,1.747542867,-0.645489379,-1.187334463
1.7611,1.7611,1.7611,1.760397358,1.461403924,-0.885270235,-1.068436948
1.7611,1.7611,1.7611,1.760397358,1.671443192,-0.350165969,-0.982492582
1.7611,1.7611,1.7611,1.760397358,49.1531819,-1.113071823,1.012725788
1.7611,1.7611,1.7611,1.760397358,1.8614971,0.037330014,-1.18538869
1.7611,1.7611,1.7611,1.760397358,3.562893939,-0.785855623,-1.03936744
1.7611,1.7611,1.7611,1.760397358,1.720598337,-1.010032984,-0.978346914
1.7611,1.7611,1.7611,1.760397358,1.402928371,1.740574815,-0.68903458
1.7611,1.7611,1.7611,1.760397358,13.83339979,-1.142006671,-1.140574895
1.7611,1.7611,1.7611,1.760397358,0.809196272,0.671838512,-0.971948466
1.7611,1.7611,1.7611,1.760397358,2.659351546,-0.822580161,-1.199120681
1.7611,1.7611,1.7611,1.760397358,21.14573248,-0.024384759,-1.1776217
1.7611,1.7611,1.7611,1.760397358,1.511734759,-1.144795692,-1.011096747
1.7611,1.7611,1.7611,1.760397358,2.153813004,-1.008360731,0.616317992
1.7611,1.7611,1.7611,1.760397358,5.4092897,-0.740690631,-1.177637612
1.7611,1.7611,1.7611,1.760397358,20.4526835,-0.20527323,-1.133740886
1.7611,1.7611,1.7611,1.760397358,1.381682111,-0.522393166,-0.992303259
1.7611,1.7611,1.7611,1.760397358,23.54538289,-0.909084139,-0.65649452
1.7611,1.7611,1.7611,1.760397358,1.693381665,-0.783211095,-0.745198302
1.7611,1.7611,1.7611,1.760397358,5.771146348,-1.08288049,-0.76026557
1.7611,1.7611,1.7611,1.760397358,6.052316792,-1.093065179,-0.898279959
1.7611,1.7611,1.7611,1.760397358,3.556401879,-0.73777304,-1.198713355
1.7611,1.7611,1.7611,1.760397358,1.733678619,-0.445133659,-1.173189834
1.7611,1.7611,1.7611,1.760397358,1.560969326,-1.099236106,-1.185697804
1.7611,1.7611,1.7611,1.760397358,4.297164809,-0.89856025,-1.124167667
1.7611,1.7611,1.7611,1.760397358,1.556351927,-1.034567387,-0.860505298
1.7611,1.7611,1.7611,1.760397358,7.301701416,-1.018244744,-0.685970895
1.7611,1.7611,1.7611,1.760397358,1.714334028,-0.714315796,-1.093928454
1.7611,1.7611,1.7611,1.760397358,1.585549307,-1.1216197,-0.512399146
1.7611,1.7611,1.7611,1.760397358,1.46723282,-1.169232408,-0.988823003
1.7611,1.7611,1.7611,1.760397358,1.615252009,-0.850576918,-1.181521563
1.7611,1.7611,1.7611,1.760397358,7.128570501,-0.140174077,-1.195587281
1.7611,1.7611,1.7611,1.760397358,2.128699687,0.758113263,-0.672570681
1.7611,1.7611,1.7611,1.760397358,1.344815249,-1.177621085,-1.095648287
1.7611,1.7611,1.7611,1.760397358,7.110981665,-0.950276185,-0.976596533
1.7611,1.7611,1.7611,1.760397358,2.241407933,-0.640726111,-1.178360335
1.7611,1.7611,1.7611,1.760397358,10.29767195,-0.932250761,0.719048549
1.7611,1.7611,1.7611,1.760397358,4.222315207,-1.02458448,-1.027091091
1.7611,1.7611,1.7611,1.760397358,4.61664363,-0.563227266,-1.028738018
1.7611,1.7611,1.7611,1.760397358,1.575120479,-0.923218956,-0.889823046
1.7611,1.7611,1.7611,1.760397358,1.732558722,0.360693846,-1.185420059
1.7611,1.7611,1.7611,1.760397358,12.47806826,-0.893178881,-0.988607056
1.7611,1.7611,1.7611,1.760397358,5.957656992,0.006229905,-1.194689575
1.7611,1.7611,1.7611,1.760397358,8.294585615,-1.172967153,-0.929681562
1.7611,1.7611,1.7611,1.760397358,0.66059532,-1.102499131,-0.440068518
1.7611,1.7611,1.7611,1.760397358,17.65097318,0.453134703,-0.995968994
1.7611,1.7611,1.7611,1.760397358,2.797725929,-0.018681602,-1.035932211
1.7611,1.7611,1.7611,1.760397358,23.83081154,-0.898178836,0.333343693
1.7611,1.7611,1.7611,1.760397358,1.721045041,-1.169312434,-1.197039997
1.7611,1.7611,1.7611,1.760397358,1.418251517,-0.825914196,-1.149220085
1.7611,1.7611,1.7611,1.760397358,23.36270513,-1.127836805,-1.047818054
1.7611,1.7611,1.7611,1.760397358,6.626524051,-0.951558954,-1.198802772
1.7611,1.7611,1.7611,1.760397358,5.050512669,-1.067473992,-0.970915256
1.7611,1.7611,1.7611,1.760397358,2.06123258,-1.051612793,-1.134659394
1.7611,1.7611,1.7611,1.760397358,13.81586657,0.103670994,-1.051070335
1.7611,1.7611,1.7611,1.760397358,18.23406861,-0.990727891,-1.156620775
1.7611,1.7611,1.7611,1.760397358,3.301307927,-1.035284919,-1.127680775
1.7611,1.7611,1.7611,1.760397358,0.649508879,-1.046938735,-1.063089018
1.7611,1.7611,1.7611,1.760397358,11.76716605,-0.844821977,-0.979561889
1.7611,1.7611,1.7611,1.760397358,7.788660674,0.215872287,-1.158921659
1.7611,1.7611,1.7611,1.760397358,1.650954454,-0.933971819,-1.151310797
1.7611,1.7611,1.7611,1.760397358,2.497172682,-0.424492148,-1.011013158
1.7611,1.7611,1.7611,1.760397358,3.499702431,-0.150458516,-1.095673997
1.7611,1.7611,1.7611,1.760397358,1.646285089,1.150806767,-1.18257151
1.7611,1.7611,1.7611,1.760397358,1.562072809,-1.150640456,-1.004854952
1.7611,1.7611,1.7611,1.760397358,1.737955424,-1.017003491,-1.100405534
1.7611,1.7611,1.7611,1.760397358,2.209780356,-0.896845891,-0.761213535
1.7611,1.7611,1.7611,1.760397358,1.294278563,-1.113151157,-1.192498891
1.7611,1.7611,1.7611,1.760397358,1.736392135,-0.74276742,-1.172263516
1.7611,1.7611,1.7611,1.760397358,3.292492294,1.389691411,-1.171555529
1.7611,1.7611,1.7611,1.760397358,5.677280112,-0.563581779,-0.540825942
1.7611,1.7611,1.7611,1.760397358,4.930855154,1.743010288,-1.09042628
1.7611,1.7611,1.7611,1.760397358,1.560144629,-1.087909248,-1.066659181
1.7611,1.7611,1.7611,1.760397358,1.600161751,-1.016723418,-0.083328195
1.7611,1.7611,1.7611,1.760397358,1.878728173,-1.054173121,-1.181355823
1.7611,1.7611,1.7611,1.760397358,1.352739361,-0.903764444,-1.09333207
1.7611,1.7611,1.7611,1.760397358,7.051964514,-0.533516315,-1.202197861
1.7611,1.7611,1.7611,1.760397358,2.434258084,-0.998512998,-1.175051076
1.7611,1.7611,1.7611,1.760397358,14.5772702,1.225163905,-0.63680978
1.7611,1.7611,1.7611,1.760397358,2.107014046,1.581027983,-1.014397172
1.7611,1.7611,1.7611,1.760397358,4.521334332,-1.128986678,-1.070178224
1.7611,1.7611,1.7611,1.760397358,9.063637206,0.507003123,-1.095855073
1.7611,1.7611,1.7611,1.760397358,10.74359446,-0.662870687,-0.887305815
1.7611,1.7611,1.7611,1.760397358,1.681418597,-0.833894708,-1.136311857
1.7611,1.7611,1.7611,1.760397358,2.288184465,-1.022828891,-0.868753637
1.7611,1.7611,1.66367703,1.760397358,1.481919981,-1.022389732,-0.930436717
1.7611,1.7611,1.7611,1.760397358,1.919901932,-1.077650651,-1.097163387
1.7611,1.7611,1.7611,1.760397358,3.045873362,-0.969586242,-1.170566494
1.7611,1.7611,1.7611,1.760397358,1.45797106,-0.959801719,-1.184931294
1.7611,1.7611,1.7611,1.760397358,18.17422673,-0.756884532,-1.07504228
1.7611,1.7611,1.7611,1.760397358,26.63214182,-1.0645585,-1.030083349
1.7611,1.7611,1.7611,1.760397358,1.594583708,-0.715072581,-1.172636624
1.7611,1.7611,1.7611,1.760397358,1.732049568,1.725744859,-0.863057314
1.7611,1.7611,1.7611,1.760397358,6.715807274,-1.043571126,-1.014816347
1.7611,1.7611,1.7611,1.760397358,2.019292584,-1.013391682,-1.191819055
1.7611,1.7611,1.7611,1.760397358,1.6235179,-0.707897012,-1.173461754
1.7611,1.7611,1.7611,1.760397358,1.730008853,-0.677917368,-1.196312368
1.7611,1.7611,1.7611,1.760397358,1.135060936,-0.809594867,-0.845125971
1.7611,1.7611,1.7611,1.760397358,4.1706777,-0.32453562,-1.047671128
1.7611,1.7611,1.7611,1.760397358,1.786193645,-0.543951074,-0.807143708
1.7611,1.7611,1.7611,1.760397358,4.611262098,-1.058491033,-1.052675251
1.7611,1.7611,1.7611,1.760397358,1.41722018,-1.128928661,-0.64110792
1.7611,1.7611,1.7611,1.760397358,7.179608537,-0.754393534,-1.083728285
1.7611,1.7611,1.7611,1.760397358,1.472934492,-0.417942093,-1.022466104
1.7611,1.7611,1.7611,1.760397358,1.284361816,-0.722020245,-1.044994724
1.7611,1.7611,1.7611,1.760397358,1.343483089,-0.971022734,-0.968993914
1.7611,1.7611,1.7611,1.760397358,21.56920104,-0.97147831,-0.554166337
1.7611,1.7611,1.7611,1.760397358,2.313759332,-0.774813337,-0.878557824
1.7611,1.7611,1.7611,1.760397358,1.72208719,-0.968854062,-1.136320323
1.7611,1.7611,1.7611,1.760397358,2.18198769,-1.04489303,-1.042844766
1.7611,1.7611,1.7611,1.760397358,4.797364553,-0.579740082,-1.037753807
1.7611,1.7611,1.7611,1.760397358,3.681566214,0.446506722,-1.160270272
1.7611,1.7611,1.7611,1.760397358,3.251917492,-0.444936799,-1.018348308
1.7611,1.7611,1.7611,1.760397358,14.8041632,-0.981215875,-0.948874009
1.7611,1.7611,1.7611,1.760397358,1.975733998,-1.20486287,-0.948923859
1.7611,1.7611,1.7611,1.760397358,1.504390102,-0.679863601,-1.152567806
1.7611,1.7611,1.7611,1.760397358,5.242589461,-0.719808784,-1.195131222
